9845,9720
9610,6514,2454
3377,8827,5650
1846,236,9038
9194,9613,1412
7061,1735,7961
9172,9585,6241
6777,5706,1925
9060,1458,9314
3188,3773,5567
5366,2773,486
1722,1621,7072
6492,8052,9414
3858,8577,8846
682,6234,4488
8974,6971,7075
3773,6087,1900
7152,6638,7179
6663,1013,6232
7558,3620,6815
7639,9162,8792
4614,8621,294
4766,1138,6018
220,3494,240
9400,2854,1859
9451,7555,2110
9474,7487,3981
1904,5617,2428
4588,275,4930
6386,7498,5268
5292,9448,5702
8048,9873,2547
8577,2244,3485
5507,1961,3634
8140,1648,4142
7534,6782,9282
7027,8793,1842
7529,2636,3330
3288,5598,8032
6423,7420,676
9734,4400,3140
2429,2920,190
629,2169,1331
5619,936,4191
5857,532,9008
7763,9222,4961
2556,9176,7535
222,4687,951
7487,5069,973
33,6784,8628
979,8555,2076
9052,2356,4501
4610,5137,6958
3873,5553,585
1621,1759,1407
629,8344,722
1540,35,5127
4047,9748,377
8482,9856,6678
4391,9313,4130
1058,4866,4338
2356,4746,1194
1453,7257,5113
6250,7123,6042
6243,4996,9281
2047,3807,1105
35,8221,1505
1446,8799,4513
3807,1808,5896
6638,9787,2972
6205,4559,4613
1284,9143,5283
6777,7715,8615
9663,3507,1188
2328,7527,3100
2237,604,116
7192,5287,7136
5391,3542,785
4250,549,1206
9373,6052,8538
8666,9017,4839
8168,4009,29
2737,1194,6861
1153,743,6808
7639,1219,3258
3188,2532,3299
991,5046,3438
310,8836,3194
8494,496,5037
6829,8122,2151
1093,8605,1190
6149,5855,1235
1058,7538,2125
1677,3611,8410
991,2699,6935
9143,1742,2277
6052,1329,3907
9060,4769,9871
682,6290,648
188,2909,372
8140,5925,1956
939,1864,1237
4817,9043,9432
275,7596,523
5045,4008,1051
8127,1623,3118
3348,8731,2767
7152,3384,3872
3983,8427,8490
2328,6537,9746
8836,4502,5780
532,6454,1143
6135,9212,8371
9842,5252,3047
2699,1235,3153
3507,2827,8792
8996,2697,3981
6625,7914,1079
1648,8681,1313
188,2461,4396
4687,2363,7418
6598,2638,9826
743,9353,3013
4804,2391,8687
6008,7167,4652
4189,5151,1947
1648,8491,5767
8373,9821,3441
9821,9461,3999
991,3149,8642
1001,5037,5735
6149,352,4220
1539,6640,7352
2047,9560,1569
4769,3939,4715
2731,6632,3471
4947,9170,2127
4614,9505,5339
8048,4694,9753
8793,2798,5134
9598,8919,8166
8148,7179,2051
7145,2468,4668
1846,918,8727
3482,6339,286
9400,5641,3215
5598,6086,4920
2002,2342,4518
113,7281,7580
6386,4511,5042
4601,6798,9219
1904,2484,4149
736,2601,2007
991,1697,480
8148,7774,7543
6339,382,6673
8799,5337,3093
5557,2259,3902
685,674,4299
861,8054,2585
9654,9237,2436
3507,1407,4164
6466,3930,2511
9214,9223,5650
35,8515,4102
685,9433,4916
1176,5773,4891
9348,8654,8180
5855,6607,3838
9613,2157,1143
604,1602,3995
5467,5381,496
1655,123,3817
5857,8173,1832
3906,7837,5902
1848,4703,5353
6086,5223,5919
6663,144,1344
7067,1167,4373
918,195,753
6914,2493,4103
1284,2155,748
8605,2196,5193
3873,3646,4692
7167,5185,2541
4180,4904,3770
2363,9121,3053
2157,2726,3019
9987,5863,6582
6026,9196,3920
3348,5424,418
9610,8645,9578
8577,9018,8835
382,9592,9845
7067,141,8211
6135,7652,5038
2687,2322,8206
6372,1588,6062
1961,4489,4232
33,8911,1309
4610,9506,7934
8911,4935,8805
9981,9283,9278
6838,5246,3741
1176,4704,5001
3911,3363,7260
1284,554,534
5424,4606,4940
4502,5133,4638
981,6112,5882
6626,5796,598
9121,9481,2794
8605,3893,9287
8148,2041,3286
5292,9009,7931
1138,2563,8132
9940,130,6024
9017,3718,1619
8447,5211,1530
7538,9763,2849
5663,6493,5268
1226,7039,8574
8491,3682,7632
7653,9266,6476
8168,1178,3100
9214,4134,7112
436,4056,5297
6638,5675,5846
7748,2358,8957
918,8759,6217
6454,3240,488
4116,3139,4497
35,4426,7505
7276,4850,8315
7370,1704,2687
9265,2905,6637
4704,1732,695
6135,2746,8973
1539,1897,267
6290,4491,3423
3312,8735,605
4690,8185,3718
9663,6768,8558
5076,2846,2528
1970,1842,338
9172,9638,9143
6026,8062,1175
6407,9350,6652
2827,7660,4888
1407,1860,6554
6407,9746,5256
1439,8755,5716
2647,4407,7241
7639,929,5883
8705,4177,9616
9748,7084,1134
220,4399,4740
9701,3257,4622
1226,5164,1880
7179,6872,9907
144,8500,431
9873,9983,9595
8621,7057,7281
7560,4985,5213
8054,7254,4510
8344,1899,3511
1945,3291,2051
8344,5477,6501
4601,8766,6597
7123,4309,4530
3949,3668,4124
8052,4925,4829
7555,430,6202
9610,3349,2674
4606,3011,6136
8240,1924,7604
9475,8841,580
220,9953,3638
9746,527,5571
2002,5501,1721
2461,8881,3885
2363,9328,7279
8759,472,3154
33,8093,4069
7107,3782,482
3349,1896,5182
6492,8599,6782
5925,653,7244
1742,719,7184
2169,6559,1421
5663,7333,2256
9266,5300,1966
4158,4139,1517
9350,9655,10
4771,4361,4229
4391,8898,262
123,8743,5207
6372,7828,6779
2358,6803,3407
6784,7541,9007
8799,693,6028
6423,9903,5265
7524,2068,4337
9350,5014,2621
2638,2090,7392
9734,8243,8408
9375,3285,8378
4056,4547,990
3649,7226,3652
8919,4706,3204
7292,4065,5314
5037,9681,2262
9461,3211,2712
3718,3774,162
7747,8547,2437
5814,1723,6632
6250,7111,5311
3695,5734,4120
7370,5571,3107
8262,7301,8610
310,9422,6762
195,9146,3259
8735,8235,6358
4817,3295,1818
8793,7053,8589
3682,5187,3266
7254,8428,4755
7039,6860,867
8974,3486,5263
4250,8865,8967
9953,3366,5346
8373,1460,2038
6378,6201,7923
5557,9569,4046
3906,928,7757
9052,6674,195
33,3180,2142
6914,6963,6680
4979,9848,9816
3756,2106,3607
4052,7263,9980
6339,757,4428
4307,4524,5745
9373,4216,430
1848,5015,842
4189,5874,1214
2071,8169,3283
8127,3055,2598
1533,668,853
1860,3557,8055
7250,8410,7369
5185,5238,4647
5675,4036,4292
9162,2929,122
2746,7685,9170
8410,3720,3082
7147,129,5651
4177,110,3462
4216,6635,7344
5136,2596,6974
685,779,3551
5069,1661,6619
3211,764,7785
8755,3972,3082
8996,1787,8630
8344,8478,9443
2066,1141,1578
1742,6331,5741
1645,3134,2124
6782,8516,1588
6323,5544,7868
4036,6996,6299
5292,6358,4163
4690,2440,388
5501,2723,6698
4703,7658,6342
2532,8970,5782
5925,6931,1427
8173,730,9989
5137,423,3400
1588,3645,4367
7555,3705,8303
8598,1511,6782
9373,7781,4483
4110,7798,9940
7660,5226,1303
2902,266,9918
5015,9555,326
4559,9731,4149
4448,3855,4982
4036,6817,1462
8654,4381,8163
4719,174,8358
9214,761,7262
8836,5132,7198
8168,566,3816
9598,3476,946
1759,288,1020
8898,9156,4042
991,3749,4754
144,2764,2046
5337,5253,4159
9432,3559,4851
4602,9445,2925
6169,600,1392
2081,7433,7454
9940,2139,7692
1511,9839,2245
5015,805,8835
5809,3090,8880
9043,3693,1974
6782,7865,6699
2257,9199,7750
9991,3555,5473
9400,1907,8264
8240,6602,751
9839,2669,5789
2601,2911,3570
8982,5273,4868
5238,4599,5714
6298,6197,7619
4426,3475,1900
9474,6794,1504
5809,7200,1047
2429,2150,775
5706,9607,6880
3350,5564,3190
3149,7642,5602
6884,8495,1103
7524,800,2142
7167,3104,5154
3257,5735,8200
3731,2619,8309
566,3160,8942
436,9765,1484
2419,8611,173
7845,6760,2185
972,1830,8935
7560,8529,767
5273,6365,9958
123,6313,1330
4029,5899,2527
7226,5746,4298
7333,4437,3525
1533,2684,2043
9121,2082,4594
7687,7492,9189
5211,5949,285
6525,7421,4570
5706,2849,9941
3579,4632,1075
5571,2470,8894
2601,2527,9791
2911,6479,7963
3312,703,1538
9350,9729,4917
873,4413,6396
8011,8061,5247
3730,6608,2836
7027,8198,6780
1899,6822,7117
9517,5996,4232
1735,7728,6984
9223,1948,2749
3611,274,8330
8574,8977,618
9307,6069,2757
7027,2491,8786
6358,4271,2240
4216,2025,5578
6358,68,9788
5641,7488,8296
863,4026,9666
4052,2964,4664
5949,8005,9599
430,6727,6871
6358,229,2212
3104,1929,8738
288,2977,934
3149,3724,3986
2822,7960,2651
4110,4323,9410
113,7139,9813
3291,8910,3538
2658,6652,9968
6205,8130,8370
8062,9680,1206
4158,6646,5980
7107,7867,8059
8482,1022,7596
9711,146,7480
6963,6482,4089
2493,3272,4839
7123,6718,1598
9505,4631,1687
3972,2960,1510
9212,75,3514
6423,2913,2422
6884,3794,4115
3579,2401,3116
7147,8246,5336
2440,2273,3969
7411,1603,4827
7541,2454,2513
8598,2845,421
3794,7358,1176
3858,6363,2236
7050,6524,2179
8666,3117,781
6339,9114,342
6339,6505,2835
7057,8364,2850
929,9895,4846
5211,7928,2774
7370,2566,190
9072,3077,9480
2110,9303,7804
8168,342,5784
635,9651,2315
1539,5214,9471
1825,3664,6974
2601,290,8094
850,475,3529
3348,3088,3432
635,5864,5180
6306,2087,3309
9940,976,9843
3720,973,6619
9903,6789,1067
8447,7782,7347
6900,2978,9382
9592,874,2351
7420,823,8952
7867,4122,2192
3384,1979,8986
2845,4012,5259
9194,5533,5947
5395,921,1523
2699,1326,6264
8011,8908,943
1167,6221,6373
4088,2754,5271
2731,8323,2835
2391,7346,9789
2363,3081,8610
1961,4744,3982
2601,2985,9715
4502,9257,4069
8837,8867,7858
3247,5229,3706
3668,9693,8196
3104,1906,9914
5855,5586,2516
5076,9004,4221
9328,3345,4133
1326,4968,6692
6602,4345,1774
6201,7829,8729
7358,9326,8017
6524,5792,3281
6625,537,9974
4788,3382,8119
4719,705,1261
9848,7937,763
1979,8791,7617
7111,7686,6488
7781,893,4837
4323,7055,9636
5238,776,7587
5746,3543,2995
1167,6584,778
8793,119,7762
7053,4255,9433
4985,3503,942
604,5575,2712
1777,5234,925
6789,4731,5979
1686,7503,1679
7039,9591,734
8799,7901,9070
3008,1418,2834
2150,1047,695
3055,8413,1285
6150,552,3984
8262,2304,4780
3134,1193,5249
8093,2351,9723
5864,3341,3074
7370,9245,1442
3664,4123,3059
3724,1281,8696
1735,1195,9921
8148,704,375
7503,5979,9799
2929,3573,2741
7498,749,4125
532,9402,8443
9765,7526,2963
8755,9527,1677
3774,2321,8826
2110,2091,1076
8908,7993,4167
2025,3736,5413
1329,715,7368
9176,7711,3679
174,6629,6563
9527,1238,5702
8148,4532,7872
9422,5763,8858
7538,100,9515
629,4742,7991
6087,280,4312
2259,5219,8480
3090,5830,6246
7057,825,9798
3291,2074,8714
3695,6452,1252
6358,8390,1675
8799,7726,4659
9981,1181,6905
2068,8890,1424
863,5448,4815
8127,6523,9362
7055,7175,7663
8766,5538,268
7845,1409,2995
33,3918,2436
7067,2545,3187
3807,2988,7707
8836,4082,8973
2563,7097,7425
8246,8641,7120
5337,6395,1077
1519,5678,9344
3507,5078,8275
7263,3168,8651
1808,5120,1184
1645,4863,3215
1219,6012,7835
929,1541,1289
2532,1815,1815
1906,7266,4337
4241,2008,3174
3543,3982,2970
9172,2165,2242
1219,6752,11
6290,7709,559
75,775,1547
1830,3679,594
6169,3138,8742
5979,7441,7956
2122,5479,5596
3149,1567,5486
4744,6620,1580
6365,1549,8507
4056,1425,2720
8130,9022,3657
939,7561,2005
9326,9357,2704
3077,29,6379
4177,8619,304
3384,4311,1790
1553,441,5674
7637,9516,3983
6638,911,992
8911,1694,2372
7250,5513,2971
4610,9854,6844
6789,4522,4546
3211,6500,4434
2532,2673,2210
5796,2721,3060
1688,5696,4466
929,3567,6866
7534,3875,7556
3611,6376,7641
9856,9293,4190
4506,8369,8258
1732,1712,7773
3794,8692,7803
7541,5414,6656
7685,7318,9199
4009,1183,1217
5076,8132,6977
4353,7822,6861
9585,2652,3109
5949,6821,7176
8494,9913,5848
7053,193,1360
3011,9667,3238
2545,3723,2439
6872,9158,285
9654,4829,4368
9704,2272,5051
2237,3009,6712
9021,1835,7736
5796,2952,6906
1904,1415,8017
8127,7389,4868
6752,428,7746
9704,2682,7416
7660,3072,6705
3139,543,1678
220,3835,4310
7492,6322,2236
2697,6438,5747
6313,63,8979
7828,9225,8283
3090,1949,5581
6290,4789,5600
8793,4558,34
6452,657,9229
6012,1817,2407
280,541,7355
4687,6498,4074
1645,1112,3357
3507,9563,760
2259,4774,6327
244,3539,5800
7782,128,9055
2532,304,242
9158,3843,1791
6523,5584,4369
9569,3517,9428
8836,343,934
5949,370,6600
9775,7461,2093
9313,285,5708
3864,2768,6579
657,7998,6674
564,2055,8279
873,4976,8939
9516,1352,4624
1830,76,1206
2877,4912,726
5996,6163,8825
3232,6979,7849
3180,4643,446
541,5662,6895
6598,1459,1491
4703,8674,5108
6082,5357,1498
113,2604,5887
2470,3246,4615
2798,592,8965
6012,3010,8551
8494,1204,1203
7687,9277,2257
7226,7231,2025
724,4530,48
6581,2797,5688
3794,4015,8505
8154,7681,3872
1047,7390,2439
6524,2475,5803
8577,1105,2102
8130,9132,9715
2977,9064,2973
8925,8664,2783
6453,9096,100
7029,8078,8442
7344,8717,1875
7998,6388,7178
7084,6054,6175
1281,9153,1589
7318,4841,5410
7837,7422,9310
8631,4751,9327
8356,3936,8216
5391,3697,3610
7254,598,5843
144,1748,4434
5164,6816,8107
8674,9870,7301
7250,1164,7376
2854,4306,3570
2493,9385,6096
6243,8388,989
7346,7950,4317
8410,633,2042
1193,5162,2928
2351,6028,8634
2647,618,756
6829,4493,299
6638,579,106
4969,4634,7557
8494,6692,6457
1835,7326,1249
1226,4061,6253
2139,7963,6621
9693,9494,6637
5796,509,7141
2259,7764,4714
5479,6550,216
979,9684,2169
9009,7407,3648
2649,6324,9272
7053,9178,7315
8240,9738,9278
6626,1986,79
3855,1370,8756
3718,8926,300
2257,2495,2287
9313,309,619
7774,504,9803
6086,6982,5672
7639,3422,1923
6498,5572,7932
3507,21,9673
2532,4475,339
1226,5311,6940
1759,3122,8137
8233,131,9189
2314,7284,2873
1105,1927,385
63,4330,7421
749,3406,3200
6363,261,8266
4547,4002,1570
3232,5877,8583
8759,8466,8986
7686,3592,2925
2106,5794,9031
3211,7303,8497
3736,3562,5145
9156,165,1970
6082,2692,1718
5513,7105,6631
8168,5331,1529
7047,9456,9142
5479,2180,2638
9684,3790,3832
3382,1218,5003
6455,1005,4056
3543,2423,9232
5137,2346,6700
9433,9502,3454
705,4206,9059
6012,1268,5762
9763,176,449
2082,2019,3528
776,570,9619
1961,8101,628
6718,2727,9653
3858,4660,2533
823,5434,5241
504,5610,7143
7660,4943,433
4606,5738,5360
5327,6564,8238
6493,2105,9512
62,4944,7616
6692,4172,2015
5842,671,4594
7782,550,5074
5809,9392,6362
4029,2184,3531
779,6984,3359
8908,191,8697
7685,347,3098
1493,3203,4196
3272,6120,9642
9839,6905,7630
5746,4792,4753
6454,8462,4738
8545,8568,6170
2495,1079,9880
5238,9961,6892
6313,4030,7261
9303,3420,2690
3893,3661,8953
2905,6732,369
5641,9498,1316
9266,5399,7330
3406,4590,4554
8329,9435,7039
2090,6426,6297
6372,815,141
2454,5127,8651
1013,4257,3655
1453,804,4042
9448,8165,9587
8881,1876,544
5691,6418,9463
1588,5168,6830
9856,3815,3172
4029,2654,4687
3982,9361,9381
3503,6158,2369
3959,3322,669
6816,9631,4915
5405,1034,2166
5996,9640,6365
5127,9140,40
3318,1298,4449
8599,9653,932
8565,4676,6917
6454,1793,5557
2843,4260,6070
5486,2817,3893
6290,2616,579
5045,1599,630
1540,4797,9840
9448,8579,9091
3117,884,7106
9561,4962,5056
7231,1242,1171
4353,9743,6375
4177,8070,8259
579,5241,2388
4797,3690,871
8574,5478,5463
128,4480,7431
8061,272,9140
8070,7762,275
7498,7013,5845
4979,833,5151
2827,248,1344
9842,6586,5795
9373,212,4931
3168,2129,7914
9052,3750,334
4755,8399,9902
4841,8228,6745
3664,1322,7820
4311,8192,354
8323,8776,9657
5320,8470,2309
9638,2914,9021
7179,9566,817
2737,9626,2472
9313,997,6972
3288,8504,5249
423,5062,6601
76,7587,9837
9498,3497,5984
7411,1089,1644
1899,139,5395
7324,3308,569
3482,4543,2262
3366,2334,1497
1091,687,2743
671,9715,9084
6120,4194,8012
4532,5023,5212
4610,9014,3296
8621,1693,1257
1226,9327,6748
7880,4262,6839
4979,201,8816
3542,6642,5933
8130,8530,3695
5619,8421,8723
8890,4367,7653
5877,3157,807
861,232,6882
9430,1397,8267
4979,7844,1561
3090,9230,8735
5132,9807,349
1864,7335,7809
6838,9289,2916
3339,2590,2003
1446,45,9896
2566,5470,9558
8168,4129,665
5300,9206,2099
1145,4934,926
8462,6719,4108
251,3847,1569
72,7101,9353
9140,4099,2259
2493,2818,5716
5794,3585,424
8599,3916,3456
9511,6955,3693
9327,3170,9160
8466,6937,570
5136,9683,7262
554,8367,2938
2726,1191,7105
131,7439,3986
4080,203,6545
9265,334,2133
9072,178,567
2068,3033,4210
2960,493,1845
2091,5506,9212
9765,4652,7391
3382,4867,9910
8867,9415,322
5226,4293,9155
5925,2488,5485
8574,968,9853
3318,4279,2580
4968,4987,5977
1929,7112,8308
139,3205,6433
6086,2528,8166
5691,5753,7876
7318,561,7393
8756,2753,9193
1159,8436,5437
2470,6892,9910
2440,4484,5503
4484,3609,2457
1079,1077,9661
3983,6249,3596
6388,6330,8754
8568,2463,9006
2682,9279,405
9214,2132,3667
6760,5489,3498
5014,3361,1463
5162,9762,8748
2196,2378,7134
2902,6001,6156
5830,7572,3693
4610,1288,8679
1929,941,592
764,2254,2242
6271,5914,9493
45,6781,8042
2423,3123,5947
1153,1833,5310
6979,6722,2394
8495,2809,7699
2687,8604,946
4792,282,2705
1603,9874,6040
9194,2571,8550
4009,3984,3757
5226,1969,3110
4719,9920,3327
9223,9198,4520
4323,2806,2524
4061,8359,5968
141,108,2838
2261,8043,4174
4900,8757,9962
9114,2614,8120
7326,611,7103
5132,295,1363
757,9771,1612
9289,7074,7144
3543,8360,9795
7107,8284,8879
9328,2599,7849
7407,7241,3023
1603,2460,4755
5070,7306,6176
4911,9436,699
3911,8875,1064
5391,9504,7052
2798,7848,754
3695,5994,1606
8517,5811,174
5524,180,1004
3555,828,8309
6798,6545,8608
8262,6847,9259
4194,5911,5735
7433,781,44
9230,4494,5536
1511,1727,3625
7055,2264,7325
229,292,4759
8005,6073,117
6339,1544,3934
9653,9036,2524
9663,1375,576
4911,8677,3283
9198,8964,2147
7074,9365,6277
1742,2065,5659
685,8966,5545
2106,1069,6956
532,6539,326
33,4049,76
2977,6361,2006
549,9637,2147
1145,3376,9357
7963,4476,2749
3350,3454,3324
6163,2119,9696
1512,9351,901
1458,2523,3590
1159,9362,7056
7642,4667,1896
6403,3278,1048
1458,7896,916
2265,6521,9843
705,4786,3458
7928,8651,2197
815,3228,8585
6120,6231,3722
3833,2220,7729
5453,5386,6090
6323,8601,1287
7538,5694,1310
2155,9546,2555
9638,4678,827
3180,8761,6694
6642,9519,715
2809,1293,9475
7527,6284,8054
1544,7512,8209
7487,4677,7707
7728,1691,874
113,2098,8220
2155,4873,6801
2423,6338,9093
3807,3648,8787
9655,281,3220
8731,5436,5705
2727,978,6419
3088,6964,4177
6608,7628,6167
7837,9267,3713
4797,2542,308
6727,9676,2798
1906,7475,8737
195,5680,565
6782,7211,5655
1945,8573,3584
9011,4740,3941
7798,6382,63
3875,3524,5720
6718,6623,8977
2105,8055,691
3318,9649,5244
3382,9227,8271
9293,2878,8603
62,6137,2423
8573,7454,5039
6365,1497,9824
1899,1574,2631
6303,3005,1461
2346,6689,7008
8447,3602,5619
3168,7580,2914
3585,8853,1901
5241,7755,2396
3646,9285,6669
8664,811,815
3272,5305,8588
7572,9714,1261
1539,245,6669
3072,1556,483
6632,6925,6563
5055,6398,4043
6905,8720,421
3318,6068,8516
5366,5007,236
1183,2366,5808
398,5822,6260
9787,4238,8476
7762,4091,2145
9775,6682,6026
4867,9588,8847
1661,5721,4592
1459,6861,9288
4448,3783,5744
3033,2056,3847
6163,2306,7788
823,2788,555
4904,9691,7315
1949,3886,5136
4590,9169,9907
2002,2792,4843
3749,4187,7122
5223,9646,708
7599,2457,3059
2877,2814,3185
5078,3109,7433
9569,8998,625
2090,5878,6042
2636,5674,4547
4665,4994,4294
9527,7659,4223
4036,5509,8167
6663,3106,2788
251,7151,6763
6492,7575,9701
232,305,7646
5320,9796,1332
4660,8903,6710
3106,6866,3997
3542,5635,2854
222,7980,8200
8755,7456,5920
6586,416,9548
4817,6902,2388
3886,2446,4187
4194,4819,8142
292,5693,7359
3475,6939,41
823,5803,4613
9598,1818,9753
108,2270,2313
